module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs,
dept-shopify-ecosystem,anytime,Ecosystem Setup,ES,,skill:dept-shopify-setup,dept-shopify-setup,false,ecosystem-consultant,Create Mode,"Guided setup for a new Shopify ecosystem project. Determines stack pattern, establishes project conventions, configures reference material, and produces a project context document.",planning_artifacts,project context,
dept-shopify-ecosystem,anytime,Ecosystem Reference,ER,,skill:dept-shopify-reference,dept-shopify-reference,false,,,Comprehensive Shopify partner ecosystem reference covering all 16 platforms, integration patterns, data flows, and cost analysis.,,
dept-shopify-ecosystem,anytime,Integration Patterns,IP,,skill:dept-shopify-integration-patterns,dept-shopify-integration-patterns,false,integration-architect,,"Integration architecture patterns. Hub-and-spoke, middleware, event-driven. Complexity matrix, common gotchas, error handling.",,
dept-shopify-ecosystem,anytime,PIM Strategy,PS,,skill:dept-shopify-pim-strategy,dept-shopify-pim-strategy,false,ecosystem-consultant,,"PIM selection and strategy. Akeneo vs Bluestone vs Inriver. Complexity scoring, sync patterns, variant mapping.",,
dept-shopify-ecosystem,anytime,Marketing Stack,MS,,skill:dept-shopify-marketing-stack,dept-shopify-marketing-stack,false,ecosystem-consultant,,"Marketing technology selection. Email, SMS, reviews, loyalty, personalisation. Decision trees and integration patterns.",,
dept-shopify-ecosystem,anytime,Data Flows,DF,,skill:dept-shopify-data-flows,dept-shopify-data-flows,false,integration-architect,,"Data flow patterns. Product sync, customer events, order lifecycle, search, reviews. Event mapping and timing.",,
dept-shopify-ecosystem,anytime,Cost Analysis,CA,,skill:dept-shopify-cost-analysis,dept-shopify-cost-analysis,false,ecosystem-consultant,,"Cost estimation and optimisation. Stack pattern costs, platform pricing, integration costs, TCO framework.",,
dept-shopify-ecosystem,1-analysis,Ecosystem Assessment,EA,10,skill:dept-shopify-ecosystem-assessment,dept-shopify-ecosystem-assessment,false,ecosystem-consultant,Create Mode,"Assess current or desired Shopify ecosystem. Business profiling, anti-pattern detection, pattern matching, gap analysis.",planning_artifacts,ecosystem assessment report,
dept-shopify-ecosystem,1-analysis,PIM Selection,PX,20,skill:dept-shopify-pim-selection,dept-shopify-pim-selection,false,ecosystem-consultant,Create Mode,"Guide PIM platform selection. Complexity scoring, Akeneo vs Bluestone vs Inriver evaluation, integration assessment.",planning_artifacts,PIM selection recommendation,
dept-shopify-ecosystem,1-analysis,Platform Audit,AU,30,skill:dept-shopify-platform-audit,dept-shopify-platform-audit,false,ecosystem-consultant,Create Mode,"Audit existing Shopify ecosystem for anti-patterns, integration health, cost optimisation opportunities.",planning_artifacts,platform audit report,
dept-shopify-ecosystem,2-planning,Stack Architecture,SA,10,skill:dept-shopify-stack-architecture,dept-shopify-stack-architecture,true,integration-architect,Create Mode,"Design technical architecture. Integration pattern selection, data ownership, data flow mapping, ADRs.",planning_artifacts,architecture decision records,
dept-shopify-ecosystem,2-planning,Integration Plan,IX,20,skill:dept-shopify-integration-plan,dept-shopify-integration-plan,false,integration-architect,Create Mode,"Create phased integration plan. Platform dependencies, implementation sequencing, go/no-go checkpoints.",planning_artifacts,integration plan,
dept-shopify-ecosystem,2-planning,Cost Model,CM,30,skill:dept-shopify-cost-model,dept-shopify-cost-model,false,ecosystem-consultant,Create Mode,"Build detailed cost model. Platform costs, integration costs, ongoing operations, total cost of ownership.",planning_artifacts,cost model,
dept-shopify-ecosystem,3-solutioning,Integration Build,IB,10,skill:dept-shopify-integration-build,dept-shopify-integration-build,false,integration-architect,Create Mode,"Build and configure platform integrations. App install, API setup, webhook config, data mapping, testing.",implementation_artifacts,integration configuration,
dept-shopify-ecosystem,3-solutioning,Data Flow Design,DD,20,skill:dept-shopify-data-flow-design,dept-shopify-data-flow-design,false,integration-architect,Create Mode,"Design detailed data flows. Source analysis, field mapping, transformation rules, error handling patterns.",implementation_artifacts,data flow specification,
dept-shopify-ecosystem,4-implementation,Integration Validate,IV,10,skill:dept-shopify-integration-validate,dept-shopify-integration-validate,false,integration-architect,Validate Mode,"Validate integrations. Data accuracy, sync timing, error handling, reliability testing.",integration_artifacts,validation report,
dept-shopify-ecosystem,4-implementation,Go Live,GL,20,skill:dept-shopify-go-live,dept-shopify-go-live,false,ecosystem-consultant,Create Mode,"Go/no-go assessment. Phase checklists, cutover sequence, rollback strategy, launch plan.",integration_artifacts,go-live plan,
